date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:38	572/572	---MCZ	200	added ('OK')	text/plain	date:Fri,%2012%20Jun%202026%2020:01:39%20GMT	https://dadus.co.in/robots.txt		(from )
01:31:38	349898/349898	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2020:01:39%20GMT	https://dadus.co.in/	D:/react_projects/dadus-clone/dadus.co.in/index.html	(from )
01:31:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:39%20GMT	http://dadus.co.in/cdn/shop/files/favicon.png?crop=center&height=32&v=1677493801&width=32	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/files/favicon.0648a.delayed	(from https://dadus.co.in/)
01:31:40	2683/2683	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202026%2021:01:13%20GMT	https://dadus.co.in/cdn/shop/files/favicon.png?crop=center&height=32&v=1677493801&width=32	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/files/favicon648a.png	(from https://dadus.co.in/)
01:31:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:41%20GMT	http://dadus.co.in/cdn/shop/files/Untitled_design-5.png?v=1718970197	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/files/Untitled_design-54363.png	(from https://dadus.co.in/)
01:31:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:42%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/constants.js?v=132983761750457495441744111321	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/constants8b35.js	(from https://dadus.co.in/)
01:31:41	258/258	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2010%20Jun%202026%2002:52:35%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/constants.js?v=132983761750457495441744111321	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/constants8b35.js	(from https://dadus.co.in/)
01:31:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:42%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/pubsub.js?v=25310214064522200911744111322	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/pubsub8588.js	(from https://dadus.co.in/)
01:31:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:43%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/global.js?v=184345515105158409801744111321	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/globale3fb.js	(from https://dadus.co.in/)
01:31:44	547/547	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Jun%202026%2010:18:03%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/pubsub.js?v=25310214064522200911744111322	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/pubsub8588.js	(from https://dadus.co.in/)
01:31:44	1540540/1540540	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Jun%202026%2006:53:50%20GMT	https://dadus.co.in/cdn/shop/files/Untitled_design-5.png?v=1718970197	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/files/Untitled_design-54363.png	(from https://dadus.co.in/)
01:31:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:45%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/details-disclosure.js?v=13653116266235556501744111321	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/details-disclosure877d.js	(from https://dadus.co.in/)
